"","year","length_cm","age","sex","source","faa_area","fleet","project","InModel"
"257",2022,39.5,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"258",2022,44.5,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"259",2022,28.7,6,"M","pacfin","north","Commercial","pacfin","Included in base model"
"260",2022,38.7,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"261",2022,46.1,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"262",2022,41.5,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"263",2022,38.4,29,"M","pacfin","north","Commercial","pacfin","Included in base model"
"264",2022,36.3,13,"M","pacfin","north","Commercial","pacfin","Included in base model"
"265",2022,41.6,29,"M","pacfin","north","Commercial","pacfin","Included in base model"
"266",2022,39.3,27,"M","pacfin","north","Commercial","pacfin","Included in base model"
"267",2022,45.1,15,"F","pacfin","north","Commercial","pacfin","Included in base model"
"268",2022,34,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"269",2022,37,9,"F","pacfin","north","Commercial","pacfin","Included in base model"
"270",2022,36.7,17,"M","pacfin","north","Commercial","pacfin","Included in base model"
"271",2022,38,16,"F","pacfin","north","Commercial","pacfin","Included in base model"
"272",2022,32.8,9,"M","pacfin","north","Commercial","pacfin","Included in base model"
"273",2022,36.7,13,"M","pacfin","north","Commercial","pacfin","Included in base model"
"274",2022,40,10,"M","pacfin","north","Commercial","pacfin","Included in base model"
"275",2022,44.8,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"276",2022,34,13,"M","pacfin","north","Commercial","pacfin","Included in base model"
"277",2022,39.5,25,"M","pacfin","north","Commercial","pacfin","Included in base model"
"278",2022,40.9,29,"M","pacfin","north","Commercial","pacfin","Included in base model"
"279",2022,42,28,"M","pacfin","north","Commercial","pacfin","Included in base model"
"280",2022,40.5,10,"F","pacfin","north","Commercial","pacfin","Included in base model"
"281",2022,40,14,"M","pacfin","north","Commercial","pacfin","Included in base model"
"282",2022,44.7,27,"F","pacfin","north","Commercial","pacfin","Included in base model"
"283",2022,36.9,13,"F","pacfin","north","Commercial","pacfin","Included in base model"
"284",2023,34.6,8,"M","pacfin","north","Commercial","pacfin","External fit only"
