"Year","length_cm","weight_kg","sex","area","mode","disp","source","SOURCE_CODE"
2005,349,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,392,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,341,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,388,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,365,0.89,"U","Bay","PR","RETAINED","recfin","BIO"
2005,468,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,390,1.3,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,340,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2005,370,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,396,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,327,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,315,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2005,432,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2005,367,0.9,"U","Wine","PR","RETAINED","recfin","BIO"
2006,336,0.68,"U","Bay","PR","RETAINED","recfin","BIO"
2006,371,0.98,"U","Bay","PR","RETAINED","recfin","BIO"
2006,373,0.96,"U","Bay","PR","RETAINED","recfin","BIO"
2006,325,0.65,"U","Bay","PR","RETAINED","recfin","BIO"
2006,363,0.8,"U","Bay","PR","RETAINED","recfin","BIO"
2006,358,0.88,"U","Bay","PR","RETAINED","recfin","BIO"
2006,400,1.05,"U","Bay","PR","RETAINED","recfin","BIO"
2006,400,1.2,"U","Central","PR","RETAINED","recfin","BIO"
2006,317,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,360,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,300,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,375,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,384,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,261,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,320,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,340,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,315,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,408,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,352,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,365,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,330,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,348,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,392,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,345,0.76,"U","Bay","PC","RETAINED","recfin","BIO"
2006,334,0.65,"U","Bay","PR","RETAINED","recfin","BIO"
2006,348,0.8,"U","Bay","PR","RETAINED","recfin","BIO"
2006,340,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,350,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,301,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,380,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,362,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,326,0.74,"U","Bay","PR","RETAINED","recfin","BIO"
2006,310,0.8,"U","Central","PC","RETAINED","recfin","BIO"
2006,412,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,385,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,398,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,418,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,300,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,336,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,347,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,330,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,333,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,344,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,330,0.7,"U","Bay","PR","RETAINED","recfin","BIO"
2006,348,0.8,"U","Bay","PR","RETAINED","recfin","BIO"
2006,329,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,390,NA,"U","Bay","PC","RETAINED","recfin","BIO"
2006,341,0.79,"U","Central","PR","RETAINED","recfin","BIO"
2006,483,1.1,"U","Central","PR","RETAINED","recfin","BIO"
2006,300,0.63,"U","Central","PR","RETAINED","recfin","BIO"
2006,356,1,"U","Central","PR","RETAINED","recfin","BIO"
2006,315,0.55,"U","Bay","PR","RETAINED","recfin","BIO"
2006,364,NA,"U","Bay","PR","RETAINED","recfin","BIO"
2006,311,0.4,"U","Bay","PR","RETAINED","recfin","BIO"
2006,319,0.48,"U","Bay","PR","RETAINED","recfin","BIO"
2006,327,0.56,"U","Bay","PR","RETAINED","recfin","BIO"
2006,338,0.5,"U","Bay","PR","RETAINED","recfin","BIO"
2006,325,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,375,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,357,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,381,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,284,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,375,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,345,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,386,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,416,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,368,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,325,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,312,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,350,0.76,"U","Central","PR","RETAINED","recfin","BIO"
2006,396,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,382,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,417,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,376,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,327,NA,"U","Wine","PR","RETAINED","recfin","BIO"
2006,394,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
2006,397,NA,"U","Redwood","PR","RETAINED","recfin","BIO"
